"d_relationship","d_gender","d_orientation","d_age","d_country","d_ethnicity","lf_for","lf_single","lf_want","AttachmnetStyle","mono","long","relationships","family","anx","avoid"
"Single","Woman","Straight",22,"NY","Black","For  new friends, long-term dating, short-term dating","Who are single","Men","secure",0.807692307692308,0.833333333333333,0.845238095238095,0.865384615384615,0,0
"Single","Man","Straight",32,"Ontario",NA,"For  new friends","Who are single","Women","secure",0.923076923076923,0.916666666666667,0.94047619047619,0.865384615384615,0,0.0833333333333333
"Single","Woman","Straight",43,"TX","White","For  new friends, long-term dating, short-term dating","Who are single","Men","secure",0.923076923076923,0.883333333333333,0.916666666666667,0.865384615384615,0,0
"Single","Man","Straight",31,"MA","White","For  new friends, long-term dating, short-term dating","Who are single","Women","secure",1,0.766666666666667,0.857142857142857,0.903846153846154,0,0.0833333333333333
"Single","Man","Straight",31,"AZ","Black","For  new friends, long-term dating","Who are single","Women","anxious",0.807692307692308,0.766666666666667,0.797619047619048,0.788461538461538,0,0
"Single","Man","Straight",34,"TX",NA,"For  new friends, long-term dating","Who are single","Women","avoidant",0.923076923076923,0.916666666666667,0.94047619047619,0.788461538461538,0,0.0833333333333333
"Single","Woman","Bisexual",23,"NJ",NA,"For  new friends","Who are single","Everyone","secure",0.807692307692308,0.916666666666667,0.904761904761905,0.865384615384615,0,0
"Single","Woman","Straight",37,"IL",NA,"For  new friends, long-term dating","Who are single","Men","secure",0.923076923076923,0.916666666666667,0.94047619047619,0.865384615384615,0,0.0833333333333333
"Single","Man","Straight",30,"NY","White","For  new friends, long-term dating, short-term dating, casual sex","Who are single","Women","secure",0.769230769230769,0.816666666666667,0.821428571428571,0.865384615384615,0,0.0833333333333333
"Single","Man","Straight",45,"Taiwan","White","For  new friends, long-term dating, short-term dating","Who are single","Women","anxious",0.269230769230769,0.516666666666667,0.452380952380952,0.788461538461538,0.142857142857143,0.0833333333333333
"Single","Man","Straight",44,"MO","White","For  new friends, long-term dating, short-term dating","Who are single","Women","avoidant",0.923076923076923,0.716666666666667,0.797619047619048,0.788461538461538,0,0.166666666666667
"Single","Man","Straight",28,"IA","Asian, Middle Eastern, Black, Native American, Indian, Pacific Islander, Hispanic / Latin, White, Other","For  new friends, long-term dating, short-term dating","Who are single","Women","secure",0.769230769230769,0.733333333333333,0.761904761904762,0.865384615384615,0,0.0833333333333333
NA,NA,NA,NA,NA,NA,NA,NA,NA,"avoidant",0.807692307692308,0.533333333333333,0.630952380952381,0.788461538461538,0,0.166666666666667
"Single","Man","Straight",31,"MD","Black","For  new friends","Who are single","Women","secure",0.923076923076923,0.916666666666667,0.94047619047619,0.865384615384615,0,0
"Single","Woman","Straight",33,"CA","White","For  new friends, long-term dating, short-term dating","Who are single","Men","secure",0.923076923076923,0.583333333333333,0.702380952380952,0.923076923076923,0.0714285714285714,0.0833333333333333
"Single","Woman","Straight",41,"GA",NA,"For  long-term dating, short-term dating","Who are single","Men","anxious",0.923076923076923,0.9,0.928571428571429,0.634615384615385,0,0
"Single","Man","Straight",36,"TX",NA,"For  new friends","Who are single","Women","secure",0.961538461538462,0.883333333333333,0.928571428571429,0.865384615384615,0,0.166666666666667
"Single","Woman","Bisexual",22,"UK","White","For  new friends, short-term dating","Who are single","All who like bi women","secure",0.807692307692308,0.783333333333333,0.80952380952381,0.865384615384615,0,0
"Single","Man","Straight",34,"Russia","White","For  new friends, long-term dating, short-term dating","Who are single","Women","secure",0.923076923076923,0.916666666666667,0.94047619047619,0.865384615384615,0,0
"Single","Woman","Bisexual",25,"LA","White","For  new friends, long-term dating, short-term dating","Who are single","Everyone","secure",0.769230769230769,0.75,0.773809523809524,0.865384615384615,0,0.166666666666667
"Single","Woman","Straight",34,"AZ",NA,"For  long-term dating, short-term dating","Who are single","Men","fearful",0.961538461538462,0.866666666666667,0.916666666666667,0.788461538461538,0.0714285714285714,0.0833333333333333
"Single","Man","Straight",27,"CA","White","For  new friends, long-term dating, short-term dating","Who are single","Women","anxious",0.846153846153846,0.8,0.833333333333333,0.788461538461538,0,0
"Single","Woman","Bisexual",20,"NY","White","For  new friends, long-term dating, short-term dating","Who are single","Women","secure",0.769230769230769,0.8,0.80952380952381,0.865384615384615,0,0.0833333333333333
"Single","Man","Straight",59,"IN","White","For  new friends, long-term dating, short-term dating, casual sex","Who are single","Women","anxious",0.423076923076923,0.433333333333333,0.44047619047619,0.807692307692308,0.142857142857143,0.0833333333333333
"Single","Man","Straight",33,"FL","Black, Native American, Hispanic / Latin","For  new friends, long-term dating, short-term dating","Who are single","Women","avoidant",0.730769230769231,0.833333333333333,0.821428571428571,0.75,0,0.0833333333333333
"Single","Man","Straight",29,"Brazil","Asian","For  new friends","Who are single","Women","secure",0.923076923076923,0.883333333333333,0.916666666666667,0.865384615384615,0,0.0833333333333333
"Single","Man","Straight",28,"WA","White","For  new friends, long-term dating, short-term dating","Who are single","Women","secure",0.576923076923077,0.766666666666667,0.726190476190476,0.923076923076923,0.107142857142857,0.0416666666666667
"Single","Man","Straight",33,"UK","White","For  new friends, long-term dating, short-term dating, casual sex","Who are single","Women","avoidant",0.653846153846154,0.6,0.630952380952381,0.653846153846154,0.0357142857142857,0.0833333333333333
"Single","Man","Straight",71,"NC","White","For  new friends, long-term dating","Who are single","Women","fearful",1,0.866666666666667,0.928571428571429,0.673076923076923,0.142857142857143,0.125
"Single","Man","Straight",35,"PA","Black, Other","For  new friends, long-term dating, short-term dating","Who are single","Women","secure",0.923076923076923,0.783333333333333,0.845238095238095,0.865384615384615,0,0
"Single","Woman","Straight",28,"CA","Asian","For  new friends, long-term dating, short-term dating","Who are single","Men","secure",0.923076923076923,0.916666666666667,0.94047619047619,0.865384615384615,0,0
"Single","Woman","Straight",23,"TX","White","For  new friends, long-term dating, short-term dating","Who are single","Men","anxious",0.884615384615385,0.883333333333333,0.904761904761905,0.788461538461538,0,0
"Single","Woman","Straight",30,"UK",NA,"For  new friends, long-term dating","Who are single","Everybody","secure",0.923076923076923,0.916666666666667,0.94047619047619,0.865384615384615,0,0
"Single","Man","Straight",33,"Netherlands",NA,"For  new friends","Who are single","Women","secure",0.923076923076923,0.916666666666667,0.94047619047619,0.865384615384615,0,0
"Single","Man","Straight",45,"MT",NA,"For  new friends","Who are single","Women","anxious",0.846153846153846,0.866666666666667,0.880952380952381,0.788461538461538,0,0
"Single","Man","Straight",30,"MA","White","For  long-term dating, short-term dating","Who are single","Women","anxious",0.807692307692308,0.7,0.75,0.673076923076923,0.107142857142857,0.0416666666666667
"Single","Man","Straight",29,"Saskatchewan",NA,"For  new friends, long-term dating","Who are single","Women","secure",0.923076923076923,0.916666666666667,0.94047619047619,0.865384615384615,0,0
"Single","Woman","Straight",29,"CA","White","For  new friends","Who are single","Men who like women","secure",0.923076923076923,0.916666666666667,0.94047619047619,0.865384615384615,0,0
"Single","Man","Straight",36,"CA",NA,"For  new friends","Who are single","Women","secure",0.923076923076923,0.916666666666667,0.94047619047619,0.865384615384615,0,0
"Single","Woman","Straight",27,"AZ","White","For  new friends, long-term dating","Who are single","Men","secure",0.923076923076923,0.916666666666667,0.94047619047619,0.865384615384615,0,0
"Single","Woman","Straight",26,"LA",NA,"For  new friends, long-term dating, short-term dating","Who are single","Men","secure",0.846153846153846,0.833333333333333,0.857142857142857,0.865384615384615,0,0
"Single","Man","Straight",30,"UK","White","For  new friends, short-term dating, casual sex","Who are single","Women","secure",0.923076923076923,0.883333333333333,0.916666666666667,0.865384615384615,0,0
"Single","Woman","Straight",25,"CA","Black","For  long-term dating","Who are single","Men","anxious",1,0.8,0.880952380952381,0.75,0.285714285714286,0.166666666666667
"Single","Man","Straight",44,"MD","White","For  new friends, long-term dating, short-term dating","Who are single","Women","anxious",0.807692307692308,0.8,0.821428571428571,0.634615384615385,0,0
"Single","Man","Gay",35,"TX",NA,"For  new friends, long-term dating","Who are single","Men","secure",0.923076923076923,0.916666666666667,0.94047619047619,0.865384615384615,0,0
"Single","Woman","Straight",34,"Singapore",NA,"For  new friends","Who are single","Men","secure",0.923076923076923,0.916666666666667,0.94047619047619,0.865384615384615,0,0
"Single","Woman","Straight",25,"UK","White","For  new friends, long-term dating, short-term dating","Who are single","Men who like women","anxious",0.884615384615385,0.833333333333333,0.869047619047619,0.788461538461538,0,0
"Single","Woman","Gay",30,"DC","White","For  new friends, short-term dating, casual sex","Who are single","Women","anxious",0.5,0.266666666666667,0.345238095238095,0.519230769230769,0.285714285714286,0.0833333333333333
"Single","Woman","Bisexual",22,"LA","White","For  new friends","Who are single","Men","secure",0.923076923076923,0.916666666666667,0.94047619047619,0.865384615384615,0,0
"Single","Man","Straight",24,"OH","White","For  new friends, long-term dating, short-term dating","Who are single","Women","secure",0.769230769230769,0.783333333333333,0.797619047619048,0.865384615384615,0,0
"Single","Man","Straight",38,"NJ","White","For  long-term dating","Who are single","Women","secure",0.923076923076923,0.9,0.928571428571429,0.865384615384615,0,0.0833333333333333
"Single","Man","Straight",26,"MI",NA,"For  new friends","Who are single","Women","secure",0.923076923076923,0.916666666666667,0.94047619047619,0.865384615384615,0,0
"Single","Woman","Straight",29,"NY","White","For  new friends, long-term dating, short-term dating","Who are single","Men","secure",0.923076923076923,0.916666666666667,0.94047619047619,0.865384615384615,0,0
"Single","Man","Straight",32,"FL","White","For  new friends, long-term dating, short-term dating, casual sex","Who are single","Women","anxious",0.923076923076923,0.7,0.785714285714286,0.826923076923077,0,0
"Single","Woman","Straight",22,"NY",NA,"For  new friends, long-term dating, short-term dating","Who are single","Men","secure",0.807692307692308,0.816666666666667,0.833333333333333,0.865384615384615,0,0
"Single","Man","Straight",24,"Germany",NA,"For  casual sex","Who are single","Women","secure",0.769230769230769,0.883333333333333,0.869047619047619,0.865384615384615,0,0
"Single","Man","Straight",23,"NY","White","For  new friends, long-term dating","Who are single","Women","secure",0.923076923076923,0.916666666666667,0.94047619047619,0.865384615384615,0,0
"Single","Man","Straight",34,"NJ","White","For  short-term dating","Who are single","Women","secure",0.807692307692308,0.883333333333333,0.857142857142857,0.923076923076923,0.392857142857143,0.333333333333333
"Single","Woman","Bisexual",26,"CA","White","For  new friends","Who are single","All who like bi women","secure",0.923076923076923,0.85,0.892857142857143,0.865384615384615,0,0
